name,brand,price,url,year,origin,transmission,body_type,engine,drive,mileage_km,seats,doors,exterior_color,interior_color,condition
Mercedes Benz C class C250 Exclusive,Mercedes,645 Triệu,https://bonbanh.com/xe-mercedes_benz-c_class-c250-exclusive-2016-6278688,2016,Lắp ráp trong nước,Số tự động,Sedan,Xăng 2.0 L,RFD - Dẫn động cầu sau,90000,5,4,Trắng,Đen,Xe đã dùng
VinFast VF9 Plus,Vinfast,920 Triệu,https://bonbanh.com/xe-vinfast-vf9-plus-2023-6448297,2023,Lắp ráp trong nước,Số tự động,SUV,Điện 0.2 L,AWD - 4 bánh toàn thời gian,50000,6,5,Đỏ,Nâu,Xe đã dùng
Mercedes Benz GLC 4Matic,Mercedes,1 Tỷ 679 Triệu,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2022-6469581,2022,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,26600,5,5,Đen,Đen,Xe đã dùng
Mitsubishi Xpander Cross,Mitsubishi,579 Triệu,https://bonbanh.com/xe-mitsubishi-xpander-cross-1.5-at-2023-6466664,2023,Nhập khẩu,Số tự động,SUV,Xăng 1.5 L,FWD - Dẫn động cầu trước,62000,7,5,Cam,Đen,Xe đã dùng
Ford Explorer Limited EcoBoost,Ford,1 Tỷ 100 Triệu,https://bonbanh.com/xe-ford-explorer-limited-2.3l-ecoboost-2019-6297508,2019,Nhập khẩu,Số tự động,SUV,Xăng 2.3 L,AWD - 4 bánh toàn thời gian,60000,7,5,Đen,Đen,Xe đã dùng
Nissan Navara SL,Nissan,365 Triệu,https://bonbanh.com/xe-nissan-navara-sl-2.5-mt-4wd-2016-6482297,2016,Nhập khẩu,Số tay,Bán tải / Pickup,Dầu 2.5 L,4WD - Dẫn động 4 bánh,0,5,4,Nâu,Kem,Xe đã dùng
Chevrolet Vivant CDX,Chevrolet,99 Triệu,https://bonbanh.com/xe-chevrolet-vivant-cdx-mt-2008-6477322,2008,Lắp ráp trong nước,Số tay,Crossover,Xăng 2.0 L,FWD - Dẫn động cầu trước,0,7,5,Vàng,Vàng,Xe đã dùng
Kia Sorento Signature,Kia,845 Triệu,https://bonbanh.com/xe-kia-sorento-signature-2.2-at-awd-2020-6471958,2020,Lắp ráp trong nước,Số tự động,SUV,Dầu 2.2 L,AWD - 4 bánh toàn thời gian,114000,6,5,Xanh,Kem,Xe đã dùng
Mercedes Benz C class C300 AMG,Mercedes,599 Triệu,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2016-6377721,2016,Lắp ráp trong nước,Số tự động,Sedan,Xăng 2.0 L,RFD - Dẫn động cầu sau,111000,5,4,Đen,Kem,Xe đã dùng
VinFast Lux SA Base,Vinfast,585 Triệu,https://bonbanh.com/xe-vinfast-lux_sa_2.0-base-2.0-at-2020-6447896,2020,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.0 L,RFD - Dẫn động cầu sau,90000,7,5,Trắng,Đen,Xe đã dùng
Audi Q5,Audi,628 Triệu,https://bonbanh.com/xe-audi-q5-2.0-at-2015-6423891,2015,Nhập khẩu,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,95000,5,5,Trắng,Kem,Xe đã dùng
Toyota Land Cruiser VX V8,Toyota,1 Tỷ 850 Triệu,https://bonbanh.com/xe-toyota-land_cruiser-vx-4.6-v8-2014-6356452,2014,Nhập khẩu,Số tự động,SUV,Xăng 4.6 L,AWD - 4 bánh toàn thời gian,14000,8,5,Đen,Đen,Xe đã dùng
Bentley Flying Spur First Edition V8,Bentley,13 Tỷ,https://bonbanh.com/xe-bentley-flying_spur-first-edition-v8-2021-6275734,2021,Nhập khẩu,Số tự động,Sedan,Xăng 4.0 L,RFD - Dẫn động cầu sau,14000,5,4,Đỏ,Nâu,Xe đã dùng
Lexus RX,Lexus,3 Tỷ 269 Triệu,https://bonbanh.com/xe-lexus-rx-350-2020-6292088,2020,Nhập khẩu,Số tự động,SUV,Xăng 3.5 L,AWD - 4 bánh toàn thời gian,50000,5,5,Trắng,Nâu,Xe đã dùng
Chevrolet Cruze LTZ,Chevrolet,280 Triệu,https://bonbanh.com/xe-chevrolet-cruze-ltz-1.8-at-2016-6251191,2016,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.8 L,FWD - Dẫn động cầu trước,95000,5,4,Xám,Đen,Xe đã dùng
Toyota Highlander LE,Toyota,860 Triệu,https://bonbanh.com/xe-toyota-highlander-le-2.7-2015-6478939,2015,Nhập khẩu,Số tự động,SUV,Xăng 2.7 L,FWD - Dẫn động cầu trước,120000,7,5,Đen,Nâu,Xe đã dùng
Hyundai Tucson CRDi,Hyundai,630 Triệu,https://bonbanh.com/xe-hyundai-tucson-2.0-at-crdi-2019-6297708,2019,Lắp ráp trong nước,Số tự động,Crossover,Dầu 2.0 L,FWD - Dẫn động cầu trước,93000,5,5,Trắng,Kem,Xe đã dùng
