Ten_xe,Nam_san_xuat,So_km,Xuat_xu,Kieu_dang,Hop_so,Dong_co,Mau_ngoai_that,Mau_noi_that,So_cho_ngoi,Dan_dong,Gia_ban_text,Gia_ban,Link
Mercedes Benz C class C250 Exclusive,2016,"90,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Trắng,Đen,5 chỗ,RFD - Dẫn động cầu sau,645 Triệu,645000000,https://bonbanh.com/xe-mercedes_benz-c_class-c250-exclusive-2016-6278688
VinFast VF9 Plus,2023,"50,000 Km",Lắp ráp trong nước,SUV,Số tự động,Điện 0.2 L,Đỏ,Nâu,6 chỗ,AWD - 4 bánh toàn thời gian,920 Triệu,920000000,https://bonbanh.com/xe-vinfast-vf9-plus-2023-6448297
Mercedes Benz GLC 4Matic,2022,"26,600 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Đen,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 679 Triệu,1679000000,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2022-6469581
Mitsubishi Xpander Cross,2023,"62,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 1.5 L,Cam,Đen,7 chỗ,FWD - Dẫn động cầu trước,579 Triệu,579000000,https://bonbanh.com/xe-mitsubishi-xpander-cross-1.5-at-2023-6466664
Ford Explorer Limited EcoBoost,2019,"60,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.3 L,Đen,Đen,7 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 100 Triệu,1100000000,https://bonbanh.com/xe-ford-explorer-limited-2.3l-ecoboost-2019-6297508
Nissan Navara SL,2016,0 Km,Nhập khẩu,Bán tải / Pickup,Số tay,Dầu 2.5 L,Nâu,Kem,5 chỗ,4WD - Dẫn động 4 bánh,365 Triệu,365000000,https://bonbanh.com/xe-nissan-navara-sl-2.5-mt-4wd-2016-6482297
Chevrolet Vivant CDX,2008,0 Km,Lắp ráp trong nước,Crossover,Số tay,Xăng 2.0 L,Vàng,Vàng,7 chỗ,FWD - Dẫn động cầu trước,99 Triệu,99000000,https://bonbanh.com/xe-chevrolet-vivant-cdx-mt-2008-6477322
Kia Sorento Signature,2020,"114,000 Km",Lắp ráp trong nước,SUV,Số tự động,Dầu 2.2 L,Xanh,Kem,6 chỗ,AWD - 4 bánh toàn thời gian,845 Triệu,845000000,https://bonbanh.com/xe-kia-sorento-signature-2.2-at-awd-2020-6471958
Mercedes Benz C class C300 AMG,2016,"111,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Đen,Kem,5 chỗ,RFD - Dẫn động cầu sau,599 Triệu,599000000,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2016-6377721
VinFast Lux SA Base,2020,"90,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Trắng,Đen,7 chỗ,RFD - Dẫn động cầu sau,585 Triệu,585000000,https://bonbanh.com/xe-vinfast-lux_sa_2.0-base-2.0-at-2020-6447896
